"cell","longitude","latitude","sdm_suitability","temperature_mean_current","temperature_range_current","salinity_range_current","ph_mean_current","sea_water_speed_mean_current","sea_water_speed_range_current","temperature_mean_future","temperature_range_future","salinity_range_future","ph_mean_future","sea_water_speed_mean_future","sea_water_speed_range_future"
203155,11.6749993053414,33.7750007629395,0.626927196979523,21.4593143463135,15.207612991333,1.71184623241425,8.04203987121582,0.0304252244532108,0.0276602003723383,22.4646778106689,16.9211711883545,2.24980020523071,7.95728445053101,0.0256940014660358,0.0300172977149487
203258,16.8249991309713,33.7750007629395,0.34518563747406,21.6672611236572,13.3786849975586,1.15348219871521,8.05098724365234,0.0582940764725208,0.0756205394864082,22.7069911956787,15.174430847168,1.63993740081787,7.96809244155884,0.0746319442987442,0.0882813483476639
203369,22.374998943058,33.7750007629395,0.243988811969757,20.9111309051514,12.2022705078125,1.1571239233017,8.06581115722656,0.0770402029156685,0.0699385032057762,22.0966167449951,13.7516260147095,2.04497528076172,7.98086881637573,0.0951614752411842,0.00538746546953917
203479,27.8749987568376,33.7750007629395,0.185013249516487,21.0733242034912,11.708911895752,1.05763471126556,8.07316112518311,0.106787361204624,0.117889016866684,22.3772125244141,13.7241306304932,2.10898947715759,7.98663187026978,0.112121559679508,0.0708276331424713
203590,33.4249985689242,33.7750007629395,0.197258651256561,22.6102752685547,12.3913888931274,1.33918273448944,8.06137847900391,0.049021489918232,0.0324473716318607,23.9255485534668,14.0895900726318,2.16222500801086,7.97980260848999,0.0429977290332317,0.0264119282364845
203987,11.0249993273492,33.7250007629395,0.823841035366058,21.5493545532227,17.6299324035645,1.90098369121552,8.04610061645508,0.0149202356114984,0.00672699976712465,22.5187721252441,19.3729267120361,2.46032285690308,7.96065664291382,0.010597369633615,0.0042617148719728
203999,11.6249993070343,33.7250007629395,0.655651807785034,21.4514389038086,15.4445066452026,1.72450494766235,8.04222297668457,0.0273976717144251,0.0341854877769947,22.4505672454834,17.155179977417,2.25958776473999,7.95724439620972,0.0232026651501656,0.029818806797266
204071,15.2249991851445,33.7250007629395,0.358626335859299,21.8068828582764,13.224175453186,0.999701678752899,8.04751491546631,0.0191198345273733,0.0829593613743782,22.8488368988037,14.9579610824585,1.62466847896576,7.96314811706543,0.0251403842121363,0.054843582212925
204182,20.7749989972312,33.7250007629395,0.259961843490601,21.4136905670166,12.8638324737549,1.08043336868286,8.05836868286133,0.0870140939950943,0.0366552509367466,22.5575580596924,14.2708587646484,1.90137755870819,7.97361373901367,0.0684076622128487,0.0234938766807318
204292,26.2749988110108,33.7250007629395,0.186946228146553,21.3254795074463,11.7089586257935,1.30126082897186,8.07672309875488,0.0680330693721771,0.107918545603752,22.5307064056396,13.7709531784058,2.32860445976257,7.99141359329224,0.0619146600365639,0.0305200275033712
204403,31.8249986230974,33.7250007629395,0.183753937482834,22.1883277893066,12.0005702972412,1.05877423286438,8.06505489349365,0.0389111116528511,0.0630674138665199,23.4876098632812,13.7862768173218,2.41392922401428,7.98194742202759,0.0423526503145695,0.0781141668558121
204830,10.9249993307351,33.6750007629395,0.892922759056091,21.5840358734131,18.29221534729,2.08112525939941,8.04668235778809,0.0090920627117157,0.0336221382021904,22.5516662597656,20.0741939544678,2.68025302886963,7.96134090423584,0.00757653312757611,0.0264523196965456
204841,11.474999312113,33.6750007629395,0.715646684169769,21.4861469268799,16.0326919555664,1.71751749515533,8.0425386428833,0.00843521393835545,0.0241652652621269,22.4763050079346,17.7365913391113,2.28662824630737,7.95727014541626,0.00568797718733549,0.019177844747901
204885,13.6749992376249,33.6750007629395,0.326415717601776,21.8226051330566,13.1115798950195,1.20758354663849,8.04561710357666,0.0759785920381546,0.0477457791566849,22.9211349487305,15.1359376907349,1.80437028408051,7.96115207672119,0.0801766738295555,0.0951164364814758
204996,19.2249990497115,33.6750007629395,0.331424236297607,21.482141494751,13.248161315918,1.14631175994873,8.0536937713623,0.0726505592465401,0.0872030556201935,22.6738357543945,14.7611608505249,1.81375730037689,7.97014379501343,0.05013158172369,0.128443598747253
205106,24.7249988634911,33.6750007629395,0.208200022578239,21.1131629943848,11.4038190841675,1.09419775009155,8.07226276397705,0.0103603349998593,0.097082182765007,22.3183917999268,13.5636157989502,2.23281502723694,7.98405075073242,0.00877224747091532,0.159199520945549
205217,30.2749986755777,33.6750007629395,0.138539016246796,21.5654125213623,11.4792547225952,0.899300098419189,8.06791687011719,0.118005037307739,0.0150122400373221,22.8461093902588,13.4810247421265,2.32962918281555,7.98452758789062,0.121719256043434,0.0302027333527803
205678,11.0749993256563,33.6250007629395,0.831448912620544,21.5346775054932,17.664529800415,1.91170716285706,8.04501533508301,0.0180286858230829,0.00552619248628616,22.5068778991699,19.4003582000732,2.48282051086426,7.95960426330566,0.0137735530734062,0.00663773017004132
205689,11.6249993070343,33.6250007629395,0.682058453559875,21.4582366943359,15.6785669326782,1.69304859638214,8.04294013977051,0.0203327126801014,0.0481573231518269,22.4537830352783,17.342737197876,2.27701330184937,7.95763826370239,0.0168321821838617,0.0443396866321564
205700,12.1749992884122,33.6250007629395,0.421254873275757,21.5374660491943,13.4512786865234,1.30203533172607,8.04403305053711,0.0487953722476959,0.0785714164376259,22.6384410858154,15.3141345977783,1.89153242111206,7.95943117141724,0.0332609564065933,0.0656553134322166
205811,17.7249991004989,33.6250007629395,0.341844290494919,21.6234436035156,13.3941602706909,1.04805016517639,8.05029201507568,0.0392008535563946,0.042508240789175,22.7301330566406,15.2020864486694,1.49599373340607,7.96672344207764,0.0453193262219429,0.0343652255833149
205921,23.2249989142785,33.6250007629395,0.232049837708473,20.8066883087158,11.6585569381714,1.15532803535461,8.07069969177246,0.0524945259094238,0.123692363500595,21.954345703125,13.0515832901001,2.189448595047,7.98422574996948,0.052430234849453,0.0570698715746403
