"scientificName","longitude","latitude","eventDate"
"Engraulis encrasicolus",16.375667,43.526667,"1978-07-31"
"Engraulis encrasicolus",16.285333333,43.043833333,"1977-07-20"
"Engraulis encrasicolus",16.375667,43.526667,"1981-05-28"
"Engraulis encrasicolus",16.285333333,43.043833333,"1981-10-30"
"Engraulis encrasicolus",2.05999994277954,41.2099990844727,"1966"
"Engraulis encrasicolus",16.03558559,42.72938396,"1980"
"Engraulis encrasicolus",3.25,42.02,"2002-06-09"
"Engraulis encrasicolus",4.1375,43.0225,"1986-06-11"
"Engraulis encrasicolus",34.850607,32.408475,"1994-03-05"
"Engraulis encrasicolus",16.285333333,43.043833333,"1997-07-17"
"Engraulis encrasicolus",4.695,42.9825,"1987-06-10"
"Engraulis encrasicolus",16.375667,43.526667,"1974-08-15"
"Engraulis encrasicolus",16.03558559,42.72938396,"1972"
"Engraulis encrasicolus",0.7,36.42,"1910-09-04T02:15:00"
"Engraulis encrasicolus",1.8,41.13,"1997-05-31"
"Engraulis encrasicolus",34.683409,31.938138,"2010-09-27"
"Engraulis encrasicolus",3.30665,43.21835,"1992-05-30"
"Engraulis encrasicolus",12.3774,45.3867,"1947"
"Engraulis encrasicolus",4.06835,42.76085,"1986-06-09"
"Engraulis encrasicolus",16.375667,43.526667,"1992-07-15"
"Engraulis encrasicolus",16.285333333,43.043833333,"2012-04-26"
"Engraulis encrasicolus",26.05,32.27,"1910-07-30T03:00:00"
"Engraulis encrasicolus",1.35,41.08,"2009-05-02"
"Engraulis encrasicolus",34.729586,32.051985,"2000-09-13"
"Engraulis encrasicolus",-0.49,37.98,"2007-06-01"
"Engraulis encrasicolus",1.58000004291534,41.1100006103516,"1965"
"Engraulis encrasicolus",3.34999990463257,41.75,"1967"
"Engraulis encrasicolus",-0.02,39.57,"2001-06-13"
"Engraulis encrasicolus",2.50999999046326,41.3600006103516,"1962"
"Engraulis encrasicolus",0.75,40.17,"1996-05-15"
"Engraulis encrasicolus",16.285333333,43.043833333,"1975-04-15"
"Engraulis encrasicolus",1.221,40.94,"2003-05-29/2003-05-29"
"Engraulis encrasicolus",16.37,43.51,"1964-05-18/1964-05-18"
"Engraulis encrasicolus",0.28,40.1,"1996-05-25"
"Engraulis encrasicolus",1.25,41,"2006-06-04"
"Engraulis encrasicolus",16.375667,43.526667,"1992-05-12"
"Engraulis encrasicolus",1.1,40.62,"2007-06-10"
"Engraulis encrasicolus",14.25,40.8013889,"2014-06-03"
"Engraulis encrasicolus",16.03558559,42.72938396,"2006"
"Engraulis encrasicolus",2.50999999046326,41.3600006103516,"1966"
"Engraulis encrasicolus",16.285333333,43.043833333,"1968-05-17"
"Engraulis encrasicolus",3.34999990463257,41.75,"1968"
"Engraulis encrasicolus",1.35,41.07,"2006-06-05"
"Engraulis encrasicolus",3.27,41.96,"1994-06-18"
"Engraulis encrasicolus",9.83,42.72,"1910-07-10T21:30:00"
"Engraulis encrasicolus",0.6,37.53,"1913-11-11T10:30:00"
"Engraulis encrasicolus",16.03558559,42.72938396,"1997"
"Engraulis encrasicolus",10.1719999313,34.0279998779,"2003-04-30T12:00:00Z"
"Engraulis encrasicolus",13.57,36.7,"1910-07-20T22:35:00"
"Engraulis encrasicolus",16.285333333,43.043833333,"2004-08-19"
"Engraulis encrasicolus",22.55,38.17,"1910-08-17T01:50:00"
"Engraulis encrasicolus",2.8453,39.2477,"2001-09-17"
"Engraulis encrasicolus",0.97,40.03,"2006-06-06"
"Engraulis encrasicolus",10.3409996033,33.8030014038,"2002-04-10T12:00:00Z"
"Engraulis encrasicolus",3.46000003814697,41.8400001525879,"1964"
"Engraulis encrasicolus",16.92,43.24,"1957-09-03/1957-09-03"
"Engraulis encrasicolus",16.375667,43.526667,"1979-07-16"
"Engraulis encrasicolus",0.93,40.6,"2002-06-11"
"Engraulis encrasicolus",2.50999999046326,41.3600006103516,"1968"
"Engraulis encrasicolus",35.5,34.1,"1973-06/1990-12"
"Engraulis encrasicolus",1.02,40.53,"2009-05-01"
"Engraulis encrasicolus",16.03558559,42.72938396,"1985"
"Engraulis encrasicolus",35.027246,32.836143,"2009-08-13"
"Engraulis encrasicolus",16.375667,43.526667,"1972-07-06"
"Engraulis encrasicolus",-0.23,38.27,"2008-05-21"
"Engraulis encrasicolus",34.683409,31.938138,"1994-08-15"
"Engraulis encrasicolus",3.37,39.91,"2007-06-20"
"Engraulis encrasicolus",34.820824,32.312507,"2011-09-27"
"Engraulis encrasicolus",13.17,45.25,"1988-10-18/1988-10-18"
"Engraulis encrasicolus",3.34999990463257,41.75,"1964"
"Engraulis encrasicolus",0.47,39.88,"2006-06-07"
"Engraulis encrasicolus",16.03558559,42.72938396,"2001"
"Engraulis encrasicolus",1.58000004291534,41.1100006103516,"1963"
"Engraulis encrasicolus",0.27,38.62,"2002-05-28"
"Engraulis encrasicolus",11.2829999924,34.4879989624,"2001-06-12T12:00:00Z"
"Engraulis encrasicolus",16.375667,43.526667,"1980-08-27"
"Engraulis encrasicolus",3.68,39.97,"1910-08-28T20:50:00"
"Engraulis encrasicolus",-0.01,39.43,"2009-04-26"
"Engraulis encrasicolus",16.03558559,42.72938396,"1954"
"Engraulis encrasicolus",0.92,40.1,"1997-05-25"
"Engraulis encrasicolus",16.285333333,43.043833333,"2017-05-16"
"Engraulis encrasicolus",34.745893,32.088642,"2010-04-15"
"Engraulis encrasicolus",16.03558559,42.72938396,"1977"
"Engraulis encrasicolus",16.285333333,43.043833333,"1971-07-13"
"Engraulis encrasicolus",15.65,38.25,"1910-08-21T00:50:00"
"Engraulis encrasicolus",16.285333333,43.043833333,"1966-04-26"
"Engraulis encrasicolus",16.03558559,42.72938396,"2003"
"Engraulis encrasicolus",14.58,43.8,"1949-03-26/1949-03-26"
"Engraulis encrasicolus",16.03558559,42.72938396,"1990"
"Engraulis encrasicolus",34.93206,32.758822,"1994-08-16"
"Engraulis encrasicolus",16.03558559,42.72938396,"1958"
"Engraulis encrasicolus",16.375667,43.526667,"1974-09"
"Engraulis encrasicolus",-0.57,37.92,"2004-05-15"
"Engraulis encrasicolus",-1.23,36.3,"1910-06-25T09:05:00"
"Engraulis encrasicolus",2.4272,39.4072,"1994-06-10"
"Engraulis encrasicolus",-0.57,37.99,"1998-05-17"
"Engraulis encrasicolus",2.699,41.2131,"1975-03-07/1975-03-07"
"Engraulis encrasicolus",34.683409,31.938138,"2009-05-12"
"Engraulis encrasicolus",2.76999998092651,41.5299987792969,"1964"
"Engraulis encrasicolus",16.375667,43.526667,"1993-09-22"
"Engraulis encrasicolus",16.285333333,43.043833333,"1993-06-17"
"Engraulis encrasicolus",17.35,43.03,"1958-06-06/1958-06-06"
"Engraulis encrasicolus",-5.1,36.03,"1910-09-07T01:55:00"
"Engraulis encrasicolus",12.3774,45.3867,"1981"
"Engraulis encrasicolus",16.03558559,42.72938396,"1956"
"Engraulis encrasicolus",16.03558559,42.72938396,"1994"
"Engraulis encrasicolus",34.89584,32.606908,"2000-10-18"
"Engraulis encrasicolus",16.285333333,43.043833333,"1988-08-17"
"Engraulis encrasicolus",-0.48,38.03,"2002-05-24"
"Engraulis encrasicolus",0.88,40.02,"1998-05-29"
"Engraulis encrasicolus",1.25,40.76,"2006-05-24"
"Engraulis encrasicolus",3.46000003814697,41.8400001525879,"1966"
"Engraulis encrasicolus",-0.08,39.1,"2002-06-01"
"Engraulis encrasicolus",-0.08,39.62,"2006-06-09"
"Engraulis encrasicolus",34.60865,31.803896,"1994-08-15"
"Engraulis encrasicolus",16.285333333,43.043833333,"1973-10-20"
"Engraulis encrasicolus",16.03558559,42.72938396,"1984"
"Engraulis encrasicolus",12.9377,45.0629,"1910"
"Engraulis encrasicolus",16.03558559,42.72938396,"2005"
"Engraulis encrasicolus",2.6094,39.5422,"1990-07-10"
"Engraulis encrasicolus",0.79,40.34,"2004-05-30"
"Engraulis encrasicolus",1.58000004291534,41.1100006103516,"1969"
"Engraulis encrasicolus",2.76999998092651,41.5299987792969,"1968"
"Engraulis encrasicolus",0.4,38.63,"2006-06-13"
"Engraulis encrasicolus",3.25,42.02,"1994-06-18"
"Engraulis encrasicolus",16.375667,43.526667,"1986-06-16"
"Engraulis encrasicolus",-2.07,36.62,"1910-06-24T18:20:00"
"Engraulis encrasicolus",0.31,39.87,"2000-06-20"
"Engraulis encrasicolus",-1.23,36.3,"1910-06-25T07:30:00"
"Engraulis encrasicolus",4.275,43.185,"1986-06-16"
"Engraulis encrasicolus",0.95,40.32,"1997-06-01"
"Engraulis encrasicolus",-0.08,39.62,"2005-05-24"
"Engraulis encrasicolus",2.6475,39.5194,"1990-04-10"
"Engraulis encrasicolus",-0.5,37.98,"2009-04-20"
"Engraulis encrasicolus",16.375667,43.526667,"1978-08-24"
"Engraulis encrasicolus",34.853096,32.427916,"2009-10-20"
"Engraulis encrasicolus",16.03558559,42.72938396,"1976"
"Engraulis encrasicolus",0.0170000009239,38.016998291,"2003-06-20T12:00:00Z"
"Engraulis encrasicolus",16.03558559,42.72938396,"1957"
"Engraulis encrasicolus",15.127333,37.485817,"2019-08-30"
"Engraulis encrasicolus",3.55665,43.1675,"1986-06-05"
"Engraulis encrasicolus",0.17,39.02,"1994-06-12"
"Engraulis encrasicolus",16.03558559,42.72938396,"2009"
